Date,Ping,Download-Speed,Upload-Speed
Fri Feb  3 08:30:01  2017,x,x,x
Fri Feb  3 08:45:01  2017,x,x,x
Fri Feb  3 09:00:01  2017,x,x,x
Fri Feb  3 09:15:01  2017,x,x,x
Fri Feb  3 09:30:01  2017,x,x,x
Fri Feb  3 09:45:01  2017,180.227, 0.22 ,0.00 
Fri Feb  3 10:00:01  2017,x,x,x
Fri Feb  3 10:15:01  2017,x,x,x
Fri Feb  3 10:30:01  2017,119.232 ,0.12 ,0.00 
Fri Feb  3 10:45:01  2017,38.73 ,0.16 ,0.00 
Fri Feb  3 11:00:01  2017,1197.256,0.33 ,0.02 
Fri Feb  3 11:15:01  2017,39.432,0.17 ,0.00 
Fri Feb  3 11:30:01  2017,x,x,x
Fri Feb  3 11:45:01  2017,51.585 ,0.73 ,0.04 
Fri Feb  3 12:00:01  2017,126.738 ,0.22 ,0.02 
Fri Feb  3 12:15:01  2017,x,x,x
Fri Feb  3 12:30:01  2017,66.121 ,0.34 ,0.05 
Fri Feb  3 12:45:01  2017,x,x,x
Fri Feb  3 13:00:01  2017,x,x,x
Fri Feb  3 13:15:01  2017,x,x,x
Fri Feb  3 13:30:01  2017,x,x,x
Fri Feb  3 13:45:01  2017,69.612 ,0.27 ,0.00 
Fri Feb  3 14:00:01  2017,x,x,x
Fri Feb  3 14:15:01  2017,x,x,x
Fri Feb  3 14:30:01  2017,x,x,x
Fri Feb  3 14:45:01  2017,x,x,x
Fri Feb  3 15:00:01  2017,x,x,x
Fri Feb  3 15:15:01  2017,46.628 ,0.52 ,0.04 
Fri Feb  3 15:30:01  2017,x,x,x
Fri Feb  3 15:45:01  2017,x,x,x
Fri Feb  3 16:00:01  2017,x,x,x
Fri Feb  3 16:15:02  2017,x,x,x
Fri Feb  3 16:30:01  2017,108.565 ,0.29 ,0.00 
Fri Feb  3 16:45:01  2017,x,x,x
Fri Feb  3 17:00:01  2017,x,x,x
Fri Feb  3 17:15:01  2017,x,x,x
Fri Feb  3 17:30:01  2017,x,x,x
Fri Feb  3 17:45:01  2017,47.146 ,0.29 ,0.00 
Fri Feb  3 18:00:01  2017,x,x,x
Fri Feb  3 18:15:01  2017,x,x,x
Fri Feb  3 18:30:01  2017,x,x,x
Fri Feb  3 18:45:01  2017,x,x,x
Fri Feb  3 19:00:01  2017,98.734 ,0.36 ,0.00 
Fri Feb  3 19:15:01  2017,x,x,x
Fri Feb  3 19:30:01  2017,x,x,x
Fri Feb  3 19:45:01  2017,37.127 ,0.81 ,0.00 
Fri Feb  3 20:00:01  2017,x,x,x
Fri Feb  3 20:15:01  2017,x,x,x
Fri Feb  3 20:30:01  2017,x,x,x
Fri Feb  3 20:45:01  2017,x,x,x
Fri Feb  3 21:00:01  2017,x,x,x
Fri Feb  3 21:15:01  2017,x,x,x
Fri Feb  3 21:30:01  2017,x,x,x
Fri Feb  3 21:45:01  2017,x,x,x
